customer_id,age,location,gender,transacted_amount,transacted_date,credit/debit,zip,ssn,transacted_at,fname,lname,email
CUST854589,18,OK,F,75061,29-08-2022,1,236362,8475385450,Fuel,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,81453,13-03-2023,1,419154,8887475444,Cloths,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,98715,11-09-2022,0,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,79832,23-11-2022,0,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,68860,15-10-2022,0,236362,8475385450,Zelle QR Code,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,69290,20-08-2022,0,419154,8887475444,Help Center,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,36448,29-10-2022,0,199520,7323084732,Food Street,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,52806,26-03-2023,0,522663,1425823974,Fuel,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,14035,03-10-2022,0,236362,8475385450,Cloths,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,15653,22-10-2022,0,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,39483,30-09-2022,0,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,92060,22-08-2022,0,522663,1425823974,Zelle QR Code,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,66476,13-10-2022,0,236362,8475385450,Help Center,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,11993,14-11-2022,0,419154,8887475444,Food Street,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,91789,05-09-2022,0,199520,7323084732,Fuel,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,17419,07-02-2023,0,522663,1425823974,Cloths,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,40974,06-11-2022,0,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,14187,26-10-2022,0,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,87158,11-11-2022,0,199520,7323084732,Zelle QR Code,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,32411,08-12-2022,0,522663,1425823974,Help Center,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,7871,22-02-2023,0,236362,8475385450,Food Street,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,88722,19-08-2022,0,419154,8887475444,Fuel,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,54908,28-12-2022,0,199520,7323084732,Cloths,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,25308,18-01-2023,0,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,26835,07-09-2022,0,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,32203,20-02-2023,0,419154,8887475444,Zelle QR Code,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,69870,21-03-2023,0,199520,7323084732,Help Center,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,71857,01-08-2022,0,522663,1425823974,Food Street,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,84793,23-09-2022,0,236362,8475385450,Fuel,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,35453,26-09-2022,0,419154,8887475444,Cloths,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,2959,11-12-2022,0,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,75590,06-10-2022,0,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,61937,05-10-2022,0,236362,8475385450,Zelle QR Code,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,66433,25-12-2022,0,419154,8887475444,Help Center,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,60008,09-02-2023,0,199520,7323084732,Food Street,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,84912,20-12-2022,0,522663,1425823974,Fuel,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,33365,13-01-2023,0,236362,8475385450,Cloths,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,53019,15-07-2022,0,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,8591,01-02-2023,0,199520,7323084732,Pay with Tap,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,33801,13-07-2022,0,522663,1425823974,Zelle QR Code,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,68200,02-12-2022,0,236362,8475385450,Help Center,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,41702,03-02-2023,0,419154,8887475444,Food Street,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,34122,26-12-2022,0,199520,7323084732,Fuel,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,18753,12-11-2022,0,522663,1425823974,Cloths,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,37363,26-11-2022,0,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,38699,10-10-2022,0,419154,8887475444,Pay with Tap,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,50401,09-10-2022,0,199520,7323084732,Zelle QR Code,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,82621,12-10-2022,0,522663,1425823974,Help Center,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,80183,17-10-2022,0,236362,8475385450,Food Street,Sarah,Campbell,sarah.campbell@reese.com
CUST301488,36,MN,M,98448,09-08-2022,0,419154,8887475444,Fuel,James,Rogers,james.rogers@olson.com
CUST235925,38,MA,F,62837,15-09-2022,0,199520,7323084732,Cloths,Margaret,Vasquez,margaret.vasquez@day.com
CUST768307,41,WA,M,58559,08-01-2023,0,522663,1425823974,Pay with Tap,Derek,Rivera,derek.rivera@greene.com
CUST854589,18,OK,F,90314,03-08-2022,0,236362,8475385450,Pay with Tap,Sarah,Campbell,sarah.campbell@reese.com
